id,hourly_wage,latitude,longitude,has_overtime,monthly_hours
JOB00096,1410,35.820595,139.973712,1,180
JOB00097,1929,35.467557,139.741657,1,189
JOB00098,1451,35.298079,136.699505,0,175
JOB00099,1453,34.682193,136.839553,0,157
JOB00100,1586,35.588660,139.873844,0,174
JOB00101,1156,40.491755,140.571148,1,154
JOB00102,1799,35.211557,137.123231,1,197
JOB00103,1963,35.696992,139.670846,1,173
JOB00104,1431,34.588926,135.727748,1,152
JOB00105,1341,34.914387,136.820873,0,127
JOB00106,1167,38.014821,140.917037,0,129
JOB00107,1575,35.135481,135.599761,1,174
JOB00108,1543,34.617168,135.557860,1,194
JOB00109,1748,35.034510,135.707200,1,153
JOB00110,1703,34.863530,135.827104,0,143
JOB00111,1122,34.715335,136.692148,0,129
JOB00112,1682,34.638839,135.495051,1,197
JOB00113,1323,35.829645,139.624982,0,153
JOB00114,1508,35.584172,139.946401,1,161
JOB00115,1309,40.516378,140.741900,1,194
JOB00116,1203,35.238962,135.132170,0,132
JOB00117,1904,35.668036,139.657168,1,196
JOB00118,1358,32.921691,131.559837,0,145
JOB00119,1165,35.215326,136.619260,0,131
JOB00120,1219,35.627124,139.976459,0,146
JOB00121,1103,39.648864,141.206914,0,122
JOB00122,1572,34.819489,137.028682,0,150
JOB00123,1370,34.685997,136.797402,0,153
JOB00124,1928,35.578312,139.763180,1,175
JOB00125,1278,35.213999,135.998520,1,198
JOB00126,1847,34.637651,135.524166,1,202
JOB00127,1905,35.623495,139.978269,1,196
JOB00128,1996,35.783828,139.611619,1,186
JOB00129,1214,34.884785,135.595416,1,195
JOB00130,1360,35.086300,135.248646,0,159
JOB00131,1602,35.537138,139.830666,1,162
JOB00132,1860,35.574064,139.636597,1,151
JOB00133,2037,35.748852,139.480958,1,198
JOB00134,1591,35.499198,139.886206,0,184
JOB00135,1272,35.579046,139.568094,1,203
JOB00136,1499,33.431543,131.315232,0,122
JOB00137,1159,34.971402,135.626848,0,177
JOB00138,1282,35.514282,139.933831,0,151
JOB00139,1169,34.859354,135.785565,0,149
JOB00140,1784,34.780089,135.139090,0,153
JOB00141,1581,35.684800,139.780667,0,158
JOB00142,1376,33.113217,131.663719,0,133
JOB00143,1345,34.683140,135.124846,1,200
JOB00144,1565,34.654279,135.264736,0,158
JOB00145,2014,35.684517,140.026341,1,204
JOB00146,1226,34.848378,135.749969,0,183
JOB00147,1107,34.897750,136.811053,0,179
JOB00148,1694,35.458955,139.509322,1,211
JOB00149,1171,34.834857,137.071664,0,127
JOB00150,1890,35.835739,139.838102,0,136
JOB00151,1523,34.599790,135.419739,1,201
JOB00152,1366,39.326416,140.236330,0,114
JOB00153,1284,35.886905,139.974599,1,187
JOB00154,1534,35.598659,139.529677,0,131
JOB00155,1545,34.581841,135.135117,0,157
JOB00156,1898,35.882313,139.645608,1,192
JOB00157,1949,35.450011,139.886149,1,163
JOB00158,1436,39.260837,140.353045,0,164
JOB00159,1520,34.817442,137.160224,0,168
JOB00160,1307,34.898741,136.752043,1,198
JOB00161,1428,35.852515,139.579117,0,170
JOB00162,1210,35.767056,139.535283,0,168
JOB00163,1514,34.951904,135.369556,1,150
JOB00164,1770,34.568564,135.737585,0,170
JOB00165,1629,34.936577,137.154353,1,142
JOB00166,1350,35.090564,136.733296,0,144
JOB00167,1674,35.041573,136.603450,0,152
JOB00168,1850,34.766382,137.229680,1,177
JOB00169,1867,35.200201,135.178074,1,153
JOB00170,1464,35.209977,135.271337,0,166
JOB00171,1492,34.702369,135.132753,0,125
JOB00172,1852,35.555841,139.543535,0,183
JOB00173,1882,35.653556,139.963090,1,161
JOB00174,1534,32.867835,130.853717,0,132
JOB00175,1748,35.391671,136.940084,1,172
JOB00176,1093,39.664702,140.579026,1,144
JOB00177,1305,35.678713,139.602288,1,202
JOB00178,1285,39.175374,140.899975,0,167
JOB00179,1847,35.811197,139.611778,0,131
JOB00180,1862,35.104772,135.398366,1,192
JOB00181,1248,40.179699,140.876092,1,189
JOB00182,1500,32.585220,131.477650,1,165
JOB00183,1345,40.455927,141.749613,1,181
JOB00184,1540,35.601538,139.983088,0,186
JOB00185,1439,35.228973,137.169613,1,137
JOB00186,1221,35.835115,139.856132,0,165
JOB00187,1597,34.859832,135.197901,0,133
JOB00188,1620,35.760243,139.522788,0,169
JOB00189,1203,35.339359,136.950086,0,131
JOB00190,1255,34.572278,135.593629,1,185
JOB00191,1337,34.878958,135.550469,1,202
JOB00192,1689,31.740709,130.605203,1,141
JOB00193,1511,34.827392,135.821441,0,182
JOB00194,1324,40.064572,140.556175,0,173
JOB00195,1231,35.014530,135.422749,0,157
JOB00196,1805,34.794605,135.776891,1,167
JOB00197,1661,34.928575,137.091664,0,146
JOB00198,1347,34.919170,135.554304,0,147
JOB00199,1361,34.816427,135.171318,1,194
JOB00200,1724,34.952071,135.131399,0,152
JOB00201,1221,34.889364,135.578538,0,183
JOB00202,1556,35.068423,135.786843,1,214
JOB00203,1224,35.756904,139.954971,0,150
JOB00204,1009,31.807828,131.222815,0,137
JOB00205,1716,35.169443,135.827978,1,193
JOB00206,1749,34.957240,135.207883,1,214
JOB00207,1731,35.764828,139.756742,0,148
JOB00208,1708,35.898817,139.898774,1,202
JOB00209,1848,35.593048,139.975354,1,190
JOB00210,1353,31.408018,131.014121,0,129
JOB00211,1766,34.588561,135.234275,0,179
JOB00212,1562,35.641745,139.471122,1,183
JOB00213,1625,34.924470,136.631010,0,142
JOB00214,1767,35.494594,139.733736,0,173
JOB00215,1290,40.875069,141.488730,0,157
JOB00216,1134,38.194959,140.870535,1,151
JOB00217,1197,34.906631,136.735478,1,147
JOB00218,1396,35.271907,137.001246,1,195
JOB00219,1396,34.942617,136.987011,1,167
JOB00220,1290,34.952720,135.525041,0,146
JOB00221,1734,35.854697,139.962711,0,149
JOB00222,1462,34.984551,137.113130,1,198
JOB00223,1803,35.450966,140.014395,0,160
JOB00224,1623,34.719405,135.143863,0,180
JOB00225,1585,35.848335,139.594259,0,133
JOB00226,1435,40.799088,141.668970,0,166
JOB00227,1293,35.787245,140.010476,0,189
JOB00228,1746,34.865630,135.531625,1,212
JOB00229,1538,34.667227,135.593807,1,163
JOB00230,1268,35.836088,139.991206,0,177
JOB00231,1207,34.789460,135.143049,0,156
JOB00232,1308,40.824135,141.782801,0,140
JOB00233,1336,38.163808,140.814138,1,185
JOB00234,1997,35.481740,139.809965,1,198
JOB00235,1721,35.561440,139.535189,0,186
JOB00236,1775,35.030678,135.855245,0,151
JOB00237,1867,35.829984,139.982715,1,161
JOB00238,1155,35.000133,136.787259,0,146
JOB00239,1145,31.576647,131.563125,1,182
JOB00240,1298,35.069290,135.148261,0,140
JOB00241,1718,35.476632,139.848895,0,171
JOB00242,1369,35.182714,136.835371,0,141
JOB00243,1542,35.367714,136.929680,1,164
JOB00244,1825,35.867524,139.609858,0,137
JOB00245,1247,39.134405,141.426156,0,155
JOB00246,1498,35.522027,139.705820,0,179
JOB00247,1749,35.564045,139.450297,0,165
JOB00248,1512,34.679986,135.778998,0,127
JOB00249,1179,35.029882,136.812084,0,176
JOB00250,1581,35.858098,139.843312,0,173
JOB00251,1486,35.835509,139.743801,1,172
JOB00252,1747,34.614689,135.430380,0,150
JOB00253,1188,34.842051,137.137840,0,127
JOB00254,1799,35.011053,136.972207,1,166
JOB00255,1496,35.099840,135.398703,1,171
JOB00256,1430,32.353324,131.094165,1,183
JOB00257,1369,35.531555,139.957492,0,131
JOB00258,1367,35.029218,137.109864,0,120
JOB00259,1919,34.648622,135.306942,1,168
JOB00260,1447,32.904167,131.776042,0,130
JOB00261,1176,34.991828,136.864562,0,166
JOB00262,1289,34.808449,136.849233,1,185
JOB00263,1291,35.006720,137.027396,1,171
JOB00264,1576,34.844880,135.492420,0,170
JOB00265,1866,35.803288,139.762291,0,174
JOB00266,1528,35.682357,139.925135,0,143
JOB00267,1708,35.693327,139.982566,1,149
JOB00268,1984,35.766237,139.961312,1,217
JOB00269,1422,39.674690,140.582175,1,178
JOB00270,1509,34.661312,136.723421,0,151
JOB00271,1210,39.917041,141.693685,0,172
JOB00272,1431,34.753634,135.800921,0,153
JOB00273,1498,35.185345,135.523880,1,139
JOB00274,1405,35.749910,140.049596,0,186
JOB00275,1207,35.681424,139.624043,0,150
JOB00276,1865,35.672252,139.457047,0,145
JOB00277,1825,35.773092,139.800108,0,164
JOB00278,1263,35.680561,139.916764,1,172
JOB00279,1257,38.435456,141.781808,0,134
JOB00280,1288,35.081560,136.827571,1,178
JOB00281,1227,38.492615,141.262447,1,133
JOB00282,1046,38.333836,140.606555,0,174
JOB00283,1580,35.061214,135.920547,1,177
JOB00284,1405,38.972155,140.607157,0,122
JOB00285,1344,38.127070,141.660009,1,151
JOB00286,1034,38.428496,140.580799,0,155
JOB00287,1838,35.648379,139.994153,1,200
JOB00288,1421,35.548285,139.506780,1,199
JOB00289,1811,35.847233,139.539172,0,148
JOB00290,1501,32.128717,130.608545,0,158
JOB00291,1130,39.526844,140.219694,0,111
JOB00292,1822,34.563306,135.738581,1,192
JOB00293,1722,35.159151,135.994407,1,197
JOB00294,1658,35.898864,140.029974,1,170
JOB00295,1295,34.724216,136.961334,1,180
JOB00296,1158,38.629711,141.010588,1,182
JOB00297,1580,35.476484,139.949478,0,172
JOB00298,1271,35.835824,139.638485,0,146
JOB00299,1727,35.768063,139.523170,0,184
JOB00300,1888,34.737388,135.260288,1,164
JOB00301,1506,35.003437,135.726832,0,178
JOB00302,1294,35.550254,139.789723,1,146
JOB00303,1373,38.525122,141.422909,0,162
JOB00304,1271,38.727484,141.278814,0,119
JOB00305,1253,34.873013,137.064099,0,175
JOB00306,1724,34.839317,135.626212,1,173
JOB00307,1617,35.544564,139.582476,0,146
JOB00308,1751,34.954223,137.195110,1,188
JOB00309,1279,34.848262,136.819243,0,164
JOB00310,1726,34.641963,135.902099,1,161
JOB00311,1052,33.203623,131.712308,0,126
JOB00312,1781,35.148489,135.268532,0,126
JOB00313,1250,38.471215,140.972841,0,113
JOB00314,1580,34.783963,135.480899,0,136
JOB00315,1797,34.888416,135.752547,0,144
JOB00316,1391,35.191527,136.727624,0,125
JOB00317,1541,35.712994,140.036960,0,150
JOB00318,1542,35.353676,137.081237,0,179
JOB00319,1541,35.581526,139.483110,0,178
JOB00320,1477,35.037371,135.171146,0,178
JOB00321,1881,35.798167,139.754562,0,181
JOB00322,1578,34.674585,135.668713,0,183
JOB00323,1396,34.692630,135.989655,1,204
JOB00324,1386,35.588126,139.571161,0,134
JOB00325,1505,34.645098,135.287134,1,168
JOB00326,1207,32.180673,130.698024,0,167
JOB00327,1825,35.660561,139.495273,1,183
JOB00328,1828,35.872567,139.579457,0,151
JOB00329,1326,35.547451,139.582052,1,200
JOB00330,1256,35.808444,139.858208,0,151
JOB00331,1511,35.450535,139.708250,0,154
JOB00332,1570,35.762950,139.926984,1,179
JOB00333,1601,34.697516,135.748011,0,172
JOB00334,1855,35.344923,136.923949,1,157
JOB00335,1715,35.882409,139.658048,0,131
JOB00336,1475,33.003916,130.604059,0,155
JOB00337,1617,34.589442,135.584096,1,165
JOB00338,1211,34.929056,135.355828,0,159
JOB00339,1310,34.989366,135.597049,0,163
JOB00340,1782,34.952153,135.253151,0,133
JOB00341,1769,35.527047,140.021492,1,215
JOB00342,1150,39.483824,140.892730,0,170
JOB00343,1610,34.788176,136.631418,1,192
JOB00344,1616,35.783459,140.001452,0,186
JOB00345,1605,35.763985,139.662507,0,151
JOB00346,1891,35.795070,139.479718,0,182
JOB00347,1274,35.748079,139.973445,0,160
JOB00348,1492,35.567715,139.915419,1,173
JOB00349,1118,34.764155,136.741741,0,178
JOB00350,1478,35.696540,139.857164,0,145
JOB00351,1797,35.794392,140.016951,0,155
JOB00352,1291,35.078080,137.076542,0,175
JOB00353,1697,35.011012,135.903737,1,153
JOB00354,1893,35.782598,140.041120,1,153
JOB00355,1197,34.616706,136.761811,0,160
JOB00356,1468,35.721385,139.458715,1,213
JOB00357,1321,35.027778,135.801746,1,142
JOB00358,1067,40.672079,141.781118,0,111
JOB00359,1185,40.758647,140.508987,0,149
JOB00360,1386,38.483687,140.309259,1,141
JOB00361,1442,35.597514,139.608606,0,140
JOB00362,1697,35.711222,139.769513,1,181
JOB00363,1712,35.246560,136.931002,0,168
JOB00364,1547,34.622035,136.742747,0,172
JOB00365,1715,35.838769,140.005151,0,181
JOB00366,1378,39.415199,141.432648,0,141
JOB00367,1884,35.676513,139.638860,0,144
JOB00368,1635,34.779344,135.716347,1,196
JOB00369,1858,35.800437,139.620321,1,186
JOB00370,1200,39.390985,141.289424,0,141
JOB00371,1531,33.265260,131.092946,0,177
JOB00372,1667,34.771799,137.131529,1,137
JOB00373,1430,35.045391,137.116590,0,147
JOB00374,1667,35.506415,139.984802,1,193
JOB00375,1674,35.097324,136.984091,1,198
JOB00376,1207,32.653345,131.113907,0,156
JOB00377,1551,35.834945,139.517867,1,193
JOB00378,1885,35.684122,139.571431,0,169
JOB00379,1681,34.910957,136.803776,1,151
JOB00380,1717,35.109160,136.786604,1,158
JOB00381,1721,35.610208,139.482941,0,131
JOB00382,1363,35.134542,135.766022,1,190
JOB00383,1374,35.207039,136.709995,0,154
JOB00384,1295,39.673280,140.462656,0,111
JOB00385,1859,35.883365,139.520082,0,172
JOB00386,1364,40.653723,140.933190,1,132
JOB00387,1664,31.316032,131.521224,1,154
JOB00388,1371,38.135442,140.900248,1,153
JOB00389,1643,35.741422,139.946179,0,154
JOB00390,1656,35.332198,136.748334,0,172
JOB00391,1787,35.761177,139.701791,1,170
JOB00392,1332,35.574216,139.668723,0,156
JOB00393,1638,35.668237,139.798518,0,164
JOB00394,1170,39.764822,140.338804,0,172
JOB00395,1253,35.617527,139.774650,0,173
JOB00396,1370,35.675080,139.828788,1,222
JOB00397,1305,32.543615,131.344264,1,165
JOB00398,1767,34.989423,136.636205,1,203
JOB00399,1189,35.054068,135.887155,0,137
JOB00400,1006,40.836336,140.705911,0,149
JOB00401,1601,35.871701,139.740227,1,162
JOB00402,1730,35.529477,139.910633,0,187
JOB00403,1599,34.855743,136.663078,0,178
JOB00404,1285,32.935991,131.022905,1,161
JOB00405,1329,35.081301,135.384503,1,167
JOB00406,1389,38.910804,141.068852,1,134
JOB00407,1593,35.184628,135.741856,0,179
JOB00408,1367,34.777788,135.861638,0,160
JOB00409,1256,34.949132,135.212750,0,172
JOB00410,1694,35.525900,139.555430,0,131
JOB00411,1734,35.721001,139.567240,0,135
JOB00412,1261,34.931374,137.263829,0,155
JOB00413,1205,34.619645,135.805574,0,137
JOB00414,1457,35.765035,139.939909,0,185
JOB00415,1703,35.477140,139.639703,1,178
JOB00416,1745,35.496260,139.980927,0,146
JOB00417,1755,35.641441,139.857537,1,198
JOB00418,1499,35.775064,139.520431,0,184
JOB00419,1496,34.828094,136.992033,1,179
JOB00420,1586,35.785801,139.815406,0,141
JOB00421,1789,35.891669,139.526920,1,186
JOB00422,1486,39.861214,140.711857,1,185
JOB00423,1175,38.368761,141.099855,1,203
JOB00424,1357,34.921445,136.626091,0,140
JOB00425,1745,35.165208,135.121473,0,173
JOB00426,1238,40.394504,141.338138,0,122
JOB00427,1510,35.891496,139.579865,1,162
JOB00428,1505,34.958548,137.123653,1,166
JOB00429,1310,35.801156,139.463589,1,166
JOB00430,1163,34.825463,136.848122,0,176
JOB00431,1252,35.895182,139.721465,0,185
JOB00432,1421,35.057770,135.726708,1,152
JOB00433,1529,35.102627,135.603819,1,151
JOB00434,1653,32.276927,130.207246,1,139
JOB00435,1202,34.631860,137.041706,0,143
JOB00436,1681,35.041138,135.737581,1,151
JOB00437,1358,35.659468,139.754942,0,184
JOB00438,1784,35.828940,139.802170,0,132
JOB00439,1480,34.772882,136.965534,0,157
JOB00440,1366,35.890527,139.562287,0,183
JOB00441,1493,35.814908,139.500081,1,205
JOB00442,1247,38.062660,141.044801,0,134
JOB00443,1511,35.588926,139.983791,1,182
JOB00444,1630,34.766174,135.910176,0,176
JOB00445,1406,34.861596,135.789151,1,160
JOB00446,1596,35.217350,137.049464,1,174
JOB00447,1442,35.605486,139.753330,0,171
JOB00448,1322,35.193769,136.845384,1,151
JOB00449,1814,35.544651,139.527223,1,188
JOB00450,1747,34.947884,136.814529,0,133
JOB00451,1176,38.894418,141.704789,0,142
JOB00452,1714,34.607644,137.072416,0,139
JOB00453,1510,40.523355,141.434399,1,182
JOB00454,1403,35.757817,139.832733,0,187
JOB00455,1578,35.596075,139.800012,0,167
JOB00456,1356,35.880537,139.842952,1,162
JOB00457,1580,35.815875,139.844618,0,176
JOB00458,1990,35.854931,139.801584,1,211
JOB00459,1392,35.178334,135.957233,1,176
JOB00460,1825,35.679652,139.713351,0,173
JOB00461,1900,35.812297,139.742893,1,198
JOB00462,1569,34.645029,137.178974,1,197
JOB00463,1616,34.863221,135.767760,0,141
JOB00464,1825,35.785072,139.784483,1,178
JOB00465,1680,35.564863,139.686284,1,209
JOB00466,1641,35.634270,139.871891,1,207
JOB00467,1347,35.187586,135.795117,0,134
JOB00468,1387,38.016183,140.916269,0,158
JOB00469,1715,35.623330,139.865688,1,188
JOB00470,1328,35.653842,139.795840,0,174
JOB00471,1759,35.793766,139.686736,1,172
JOB00472,1601,35.238485,136.760146,0,167
JOB00473,1994,35.579808,139.785415,1,196
JOB00474,1737,34.946213,135.256258,1,148
JOB00475,1615,34.762337,136.826551,0,135
JOB00476,1429,35.717385,139.993999,1,210
JOB00477,1215,34.769601,135.363697,0,136
JOB00478,1492,32.155644,131.440848,0,134
JOB00479,1414,33.275567,131.140003,1,160
JOB00480,1254,35.730114,139.879014,0,179
JOB00481,1773,35.025834,135.588051,0,136
JOB00482,1295,35.636051,139.750882,0,143
JOB00483,1352,35.787825,139.915357,1,163
JOB00484,1849,35.332496,136.811204,1,208
JOB00485,1501,35.171793,136.781754,0,159
JOB00486,1429,39.198956,141.376560,0,136
JOB00487,1649,35.636753,139.721661,0,143
JOB00488,1408,35.687686,140.024505,1,187
JOB00489,1720,34.730947,135.181778,0,167
JOB00490,1513,33.287194,130.753743,1,196
JOB00491,1235,35.787031,139.882143,0,146
JOB00492,1415,35.716441,139.643655,1,209
JOB00493,1259,34.774214,136.610799,1,141
JOB00494,1164,40.856081,141.670765,0,112
JOB00495,1638,35.106114,135.605144,1,163
JOB00496,1231,38.576418,141.143778,0,136
JOB00497,1209,34.978747,135.751665,0,126
JOB00498,1179,34.586510,135.459273,0,175
JOB00499,2004,35.714909,139.994664,1,173
JOB00500,1323,35.796829,139.507815,1,196
JOB00501,1074,38.239584,140.876838,0,145
JOB00502,1441,39.953858,140.897977,0,155
JOB00503,1328,35.792723,139.751611,0,163
JOB00504,1456,34.621314,135.778086,0,138
JOB00505,1933,35.876898,139.906449,1,160
JOB00506,1305,35.797702,139.911020,1,197
JOB00507,1342,35.688068,139.579704,1,196
JOB00508,1191,32.926630,131.417295,1,175
JOB00509,1619,34.569734,135.749869,0,148
JOB00510,1310,35.555853,139.801944,1,181
JOB00511,1301,35.791302,139.930103,1,206
JOB00512,1186,38.285724,140.367537,1,187
JOB00513,1304,34.759544,136.959409,0,150
JOB00514,1459,35.085910,135.904374,0,137
JOB00515,1312,35.604943,139.758914,0,133
JOB00516,1220,34.670095,136.741529,0,159
JOB00517,1387,35.533644,139.685317,1,157
JOB00518,1095,31.433559,131.185553,1,177
JOB00519,1541,35.518585,139.640902,1,148
JOB00520,1028,40.001283,141.289032,0,143
JOB00521,1815,35.056053,135.858115,1,173
JOB00522,1394,39.104109,140.431539,1,159
JOB00523,1495,39.465612,141.117302,1,156
JOB00524,1339,35.077702,135.757822,0,176
JOB00525,1364,34.821669,135.681474,0,172
JOB00526,1708,34.941734,136.845480,1,181
JOB00527,1573,35.378279,137.154658,0,138
JOB00528,1536,34.747270,137.213629,0,131
JOB00529,1819,35.816058,139.694409,1,177
JOB00530,1573,35.883273,139.664693,0,187
JOB00531,1869,35.674147,139.472395,0,177
JOB00532,1607,35.842487,139.616408,0,189
JOB00533,1859,35.469621,139.648730,0,178
JOB00534,1693,35.768749,139.891882,0,142
JOB00535,1628,35.257816,137.182129,1,208
JOB00536,1374,35.883191,139.680339,0,169
JOB00537,1394,32.799097,131.798940,0,160
JOB00538,1065,31.852417,130.233500,0,116
JOB00539,1602,34.843162,135.822893,0,162
JOB00540,1284,35.043453,135.891661,1,162
JOB00541,1729,34.846980,136.689304,0,149
JOB00542,1712,35.605028,139.846105,1,211
JOB00543,1529,35.753785,139.904555,0,131
JOB00544,1224,32.244792,131.359099,0,174
JOB00545,1548,35.648961,139.804549,1,189
JOB00546,1366,34.619167,135.617925,1,208
JOB00547,1883,34.668429,135.866901,1,176
JOB00548,1582,34.984143,135.607464,1,138
JOB00549,1342,35.466996,139.477971,0,187
JOB00550,1209,35.848164,139.469983,0,151
JOB00551,1613,34.801304,136.999902,1,151
JOB00552,1620,34.972092,137.044335,0,179
JOB00553,1331,34.843701,135.809096,0,183
JOB00554,1541,34.583982,135.414708,1,181
JOB00555,1161,34.798701,135.233450,0,161
JOB00556,1396,35.522078,139.976615,1,193
JOB00557,1743,35.097569,137.225715,0,169
JOB00558,1229,33.630072,131.788422,1,174
JOB00559,1759,35.801975,139.946294,0,146
JOB00560,1521,34.785987,135.170012,0,183
JOB00561,1479,35.466142,139.503524,0,156
JOB00562,1705,35.144504,135.674222,0,129
JOB00563,1281,35.671869,139.909937,0,162
JOB00564,1203,40.535834,140.456627,0,126
JOB00565,1452,34.865707,135.636545,0,167
JOB00566,1719,34.689774,135.934046,0,152
JOB00567,1209,35.592997,139.534188,0,167
JOB00568,1158,34.848650,135.860339,0,132
JOB00569,1636,34.761518,135.386423,0,173
JOB00570,1214,35.604617,139.909728,0,135
JOB00571,1411,35.670727,139.836022,1,192
JOB00572,1418,39.568506,141.213974,0,114
JOB00573,1399,35.468689,139.804215,0,177
JOB00574,1235,35.069034,135.425259,0,155
JOB00575,1218,39.853731,140.540392,1,163
JOB00576,1192,35.211654,135.732855,0,174
JOB00577,1666,35.748006,139.870566,1,173
JOB00578,1325,35.734770,139.887934,0,138
JOB00579,1418,40.648941,140.457312,1,196
JOB00580,1262,35.820284,139.995579,0,168
JOB00581,1379,34.810726,135.576687,0,175
JOB00582,1144,38.140522,140.375249,1,176
JOB00583,1679,34.684675,135.290312,1,172
JOB00584,1164,35.077470,135.126267,0,164
JOB00585,1193,39.622326,140.491510,1,194
JOB00586,1639,35.754339,139.550668,1,176
JOB00587,1376,34.984765,135.488410,0,174
JOB00588,1470,40.185945,141.269992,1,163
JOB00589,1236,35.772333,139.673895,0,132
JOB00590,1486,34.879418,137.067432,0,180
JOB00591,1272,35.125009,136.974408,1,174
JOB00592,1748,35.796070,139.706279,1,204
JOB00593,1488,34.923616,136.773133,0,160
JOB00594,1480,34.756990,135.954592,1,159
JOB00595,1400,34.953784,135.452278,0,184
JOB00596,1251,39.985683,140.834223,0,117
JOB00597,1720,35.551267,139.586372,0,137
JOB00598,1277,39.825712,141.725607,0,122
JOB00599,1120,40.777644,141.360519,1,149
JOB00600,1812,35.807290,139.620777,1,179
JOB00601,1208,35.698850,139.492654,0,166
JOB00602,1312,38.657686,140.587749,0,146
JOB00603,1370,35.772791,139.714893,1,220
JOB00604,1295,35.567039,139.544664,0,174
JOB00605,1502,35.096342,137.066718,0,164
JOB00606,1448,32.843803,130.286395,1,157
